escenario,metodo,proporcion_contaminacion,magnitud_contaminacion,ubicacion_contaminacion,n_replicas,sesgo,mse,rmse,mae,mape,error_porcentual_promedio,desviacion_estandar_estimaciones,tasa_sobreestimacion,tasa_subestimacion,error_absoluto_mediano,error_estandar_monte_carlo_sesgo,error_estandar_monte_carlo_mape,error_estandar_monte_carlo_mae,sesgo_ic_inferior,sesgo_ic_superior,mape_ic_inferior,mape_ic_superior,mae_ic_inferior,mae_ic_superior
p10_m2_temprana,ponderado,0.1,2.0,temprana,400.0,163.08511485473315,628200.8594383907,792.5912309875695,528.3337108989557,0.3218520560416256,0.1275012803971586,720.2502279449517,0.535,0.465,397.28434414639503,38.83013921113228,0.018576463335422212,29.577829423384337,86.97804200091389,239.1921877085524,0.28544218790419806,0.3582619241790531,470.3611652291224,586.306256568789
p10_m2_temprana,truncada,0.1,2.0,temprana,400.0,427.9337473403313,1039844.3821836347,1019.7276019524207,651.7545219892762,0.4041315718843675,0.2890614325934912,881.750653791687,0.6775,0.3225,436.61547382275035,46.33746461281736,0.024727685314125752,39.26200230742674,337.11231669920926,518.7551779814534,0.355665308668681,0.45259783510005397,574.8009974667198,728.7080465118327
p10_m5_aleatoria,clasico,0.1,5.0,aleatoria,400.0,1142.2779346761845,5096525.0964686265,2257.5484704583037,1323.77465927826,0.8404764520106667,0.7389247911908698,1924.8930929097705,0.7475,0.2525,715.6811312962707,97.4837074803355,0.05840356627050679,91.54953666711421,951.2098680147269,1333.346001337642,0.7260054621204733,0.95494744190086,1144.3375674107162,1503.2117511458039
p10_m5_aleatoria,mediana,0.1,5.0,aleatoria,400.0,748.1475166095281,3340779.6767313783,1827.7799858657438,1028.6643608852503,0.650705290714005,0.4924479334018828,1642.6898779799783,0.645,0.355,565.4582040263098,83.48690065968636,0.048255131593819986,75.6364691276307,584.5131913165428,911.7818419025134,0.5561252327901178,0.7452853486378921,880.4168813950942,1176.9118403754064
p10_m5_aleatoria,ponderado,0.1,5.0,aleatoria,400.0,1023.8356954372738,4256645.031453952,2063.1638401867053,1205.3869892628122,0.7654012613923346,0.6648806525289261,1767.5609997016322,0.745,0.255,677.1394591373304,89.67227298257092,0.05393640197771256,83.82592114952348,848.0780403914348,1199.5933504831128,0.6596859135160179,0.8711166092686512,1041.0881838097462,1369.6857947158783
p10_m5_aleatoria,truncada,0.1,5.0,aleatoria,400.0,2167.2227216568294,12239367.491223225,3498.4807404390876,2201.8156246706158,1.3919127682937178,1.3740197068372595,2734.5068771646347,0.94,0.06,1386.832967881981,137.4901515357274,0.08660657024686555,136.10565929335243,1897.7420246468037,2436.703418666855,1.2221638906098613,1.5616616459775743,1935.048532455645,2468.5827168855867
p10_m5_tardia,clasico,0.1,5.0,tardia,400.0,758.0338139687307,2223993.857418652,1491.3060911223597,899.7754963500875,0.5694350792163267,0.4952382542973622,1247.617592837406,0.77,0.23,532.3803245286098,64.29448606289586,0.03906742722237897,59.53870107990449,632.0166212854548,884.0510066520065,0.492862921860464,0.6460072365721895,783.0796422334746,1016.4713504667003
p10_m5_tardia,mediana,0.1,5.0,tardia,400.0,457.094837584589,1576338.6388792004,1255.5232530221017,731.4670755789768,0.45704554836668393,0.3090416558676543,1133.0236741347255,0.62,0.38,413.761680027461,58.54122529020034,0.03332174741230318,51.085817919841496,342.35403601579634,571.8356391533816,0.3917349234385697,0.5223561732947981,631.3388724560875,831.5952787018662
p10_m5_tardia,ponderado,0.1,5.0,tardia,400.0,626.9864316389525,1971181.5863573975,1403.9877443757825,822.6522106777036,0.5169351077137739,0.4129392856601035,1224.254244820084,0.69,0.31,452.68540394347394,62.8892809339246,0.036871010900796745,56.95763994787961,503.7234410084602,750.2494222694447,0.4446679263482123,0.5892022890793356,711.0152363798595,934.2891849755476
p10_m5_tardia,truncada,0.1,5.0,tardia,400.0,1115.698626708393,3454339.0184940817,1858.5852195942164,1187.46876969498,0.7524785772779821,0.7156736224537218,1455.9760585018332,0.8575,0.1425,752.653111423486,74.41594799118187,0.046620131380920374,71.57828564706872,969.8433686456766,1261.5538847711096,0.6611031197713781,0.843854034784586,1047.1753298267254,1327.7622095632346
p10_m5_temprana,clasico,0.1,5.0,temprana,400.0,376.3240540308413,2466039.064275015,1570.3627174239125,869.2383675291276,0.5270503991439408,0.25297194323886846,1512.2305523141074,0.4875,0.5125,539.4840549816442,76.32569820905518,0.04044945742392657,65.4742430500975,226.72568554109316,525.9224225205894,0.44776946259304473,0.6063313356948369,740.9088511509365,997.5678839073187
p10_m5_temprana,mediana,0.1,5.0,temprana,400.0,358.7017229836798,2190110.3414439205,1479.9021391443152,797.964489875422,0.4844190483159072,0.24211494311717324,1421.421338738715,0.4925,0.5075,461.11830221150774,71.87854235136898,0.03847273353756376,62.395034953283734,217.81977997499664,499.58366599236297,0.40901249058228223,0.5598256060495321,675.670221366986,920.2587583838581
p10_m5_temprana,ponderado,0.1,5.0,temprana,400.0,536.4622047061753,2686128.5337618184,1638.9412844155884,867.2004452065916,0.5310947152391519,0.3515993117083179,1536.2330786573848,0.57,0.43,424.034240946408,77.52979598110134,0.04315437292483581,69.62289978465655,384.5038045832166,688.4206048291339,0.4465121443064737,0.61567728617183,730.7395616286647,1003.6613287845184
p10_m5_temprana,truncada,0.1,5.0,temprana,400.0,1094.81198337852,5266617.888062054,2294.9113028747,1251.8531829397025,0.7788221614302671,0.6959410103099742,2008.5569176854785,0.755,0.245,631.7107460856795,100.97276996035009,0.06083887495042321,96.29061973883384,896.9053542562337,1292.718612500806,0.6595779665274376,0.8980663563330965,1063.1235682515883,1440.5827976278167
p20_m10_aleatoria,clasico,0.2,10.0,aleatoria,400.0,3869.2508085698078,43086064.04122272,6563.997565601523,3940.813035028886,2.4187013385307967,2.379809818911562,5306.5793067517525,0.92,0.08,2501.5093281873546,265.4497399983177,0.15772950642913666,262.7980187464615,3348.969318173105,4389.53229896651,2.109551505929689,2.7278511711319045,3425.7289182858217,4455.897151771951
p20_m10_aleatoria,mediana,0.2,10.0,aleatoria,400.0,2282.906655792775,16851584.88706843,4105.068195178788,2417.0067488809236,1.4862647486862701,1.4110906401684007,3414.0797842578822,0.835,0.165,1436.4862171655477,170.8002841410704,0.10272058187827202,166.11183284117928,1948.138098876277,2617.6752127092727,1.284932408204857,1.6875970891676833,2091.427556512212,2742.585941249635
p20_m10_aleatoria,ponderado,0.2,10.0,aleatoria,400.0,3153.5222578135317,27616345.645666208,5255.125654602962,3218.5831442411704,1.9740633101438394,1.938788025304728,4210.90531012335,0.9175,0.0825,1964.323089850744,210.45149588004233,0.12734660394433522,207.96826071987329,2741.037325888649,3566.0071897384146,1.7244639664129424,2.2236626538747366,2810.9653532302186,3626.2009352521222
p20_m10_aleatoria,truncada,0.2,10.0,aleatoria,400.0,10021.275600398,276235830.60988027,16620.343877606152,10024.144857174491,6.100376269815731,6.0988345440575245,13283.444825778812,0.995,0.005,6209.773614569445,663.7968291977617,0.3844278444400615,663.688241145074,8720.233815170386,11322.317385625613,5.346897694713211,6.853854844918252,8723.315904530147,11324.973809818835
p20_m10_tardia,clasico,0.2,10.0,tardia,400.0,4017.057239003378,46402003.63487911,6811.901616647081,4029.444006933995,2.488425480121804,2.4824145518229064,5505.915078660992,0.9775,0.0225,1977.898268201256,275.4138138433939,0.1699859115959264,274.9599407134609,3477.246163870326,4556.86831413643,2.1552530933937883,2.8215978668498196,3490.5225231356117,4568.365490732378
p20_m10_tardia,mediana,0.2,10.0,tardia,400.0,2165.7376279812643,18672847.974867765,4321.209087150003,2273.418975117448,1.4096679936649208,1.3522915616461932,3736.4789920004964,0.83,0.17,799.930659891826,187.1995738648263,0.11459435772035287,183.97187140914693,1798.8264632062046,2532.648792756324,1.1850630525330292,1.6342729347968123,1912.83410715552,2634.003843079376
p20_m10_tardia,ponderado,0.2,10.0,tardia,400.0,2554.397868825449,23479274.659934,4845.5417302850665,2621.062326767542,1.6252307096507372,1.5909526965914784,4115.697037158035,0.885,0.115,1017.2703589955862,206.13598808345643,0.1270047803871325,204.0277816549806,2150.3713321818745,2958.424405469024,1.3763013400919575,1.874160079209517,2221.1678747237797,3020.956778811304
p20_m10_tardia,truncada,0.2,10.0,tardia,400.0,4866.462565620764,62942624.48082904,7933.63879193079,4867.8215274253125,3.0096450252880733,3.0089152440222553,6270.310947206746,0.9925,0.0075,2517.0659612789746,313.68201648207804,0.1971118197831131,313.6291652224082,4251.64581331589,5481.279317925637,2.623305858513172,3.3959841920629747,4253.108363589393,5482.534691261232
p20_m10_temprana,clasico,0.2,10.0,temprana,400.0,1540.682683903534,27748406.31012401,5267.675607905636,2059.0705383629497,1.2453634413111059,0.953834220575512,5041.5024274574225,0.5475,0.4525,798.7882403579233,252.18197261578888,0.13961135466692565,242.73212453469586,1046.4060175765878,2034.9593502304804,0.9717251861639316,1.5190016964582802,1583.315574274946,2534.8255024509535
p20_m10_temprana,mediana,0.2,10.0,temprana,400.0,1351.532384376549,10332244.084520845,3214.3808244389534,1741.109071934711,1.0689973425225892,0.851712665531964,2903.9995108477547,0.6075,0.3925,703.8954267792396,146.00446570660569,0.08243622833202852,135.26900039009337,1065.363631591602,1637.7011371614963,0.9074223349918132,1.230572350053365,1475.9818311701279,2006.236312699294
p20_m10_temprana,ponderado,0.2,10.0,temprana,400.0,1777.1591776088835,14777254.312041435,3844.11944560018,2037.404120110299,1.2529806219520836,1.110369249559273,3400.28687710221,0.6975,0.3025,706.1815122558268,170.64641637684787,0.09825175820218669,163.1936804900154,1442.6922015102618,2111.626153707505,1.0604071758757976,1.4455540680283696,1717.5445063498687,2357.263733870729
p20_m10_temprana,truncada,0.2,10.0,temprana,400.0,4591.737906475432,95566228.69317196,9775.798110291147,4659.1294999979855,2.858053063269944,2.8218840353083747,8638.73062820594,0.9175,0.0825,2017.8919010657926,432.05567870620234,0.24994732312190063,430.24368276005936,3744.908776211276,5438.567036739589,2.3681563099510186,3.3479498165888693,3815.851881788269,5502.407118207702
p20_m2_aleatoria,clasico,0.2,2.0,aleatoria,400.0,454.8725368238533,892847.9718601912,944.9063296751648,683.4441931305637,0.4376153803054946,0.3129803320117965,770.3893194279225,0.7075,0.2925,511.82468428400614,41.46257626868052,0.022507101366232286,32.66569509333279,373.6058873372395,536.1391863104672,0.3935014616276793,0.48172929898330985,619.4194307476314,747.468955513496
p20_m2_aleatoria,mediana,0.2,2.0,aleatoria,400.0,380.13017112041564,897461.0266083569,947.3441964821217,643.2728028195186,0.41021191937652934,0.26587894672251583,813.5977848665511,0.655,0.345,460.58721012312435,43.44102906869459,0.02391329945010231,34.81642252725983,294.98575414577425,465.274588095057,0.3633418524543288,0.45708198629872987,575.0326146660893,711.5129909729478
p20_m2_aleatoria,ponderado,0.2,2.0,aleatoria,400.0,539.0269424968421,1090426.7917756112,1044.2350270775307,737.6686536925836,0.4724863099019553,0.3644511418211051,843.9492571152706,0.7275,0.2725,526.6367347419623,44.77391681171024,0.02538278764005163,37.00138008450294,451.2700655458901,626.7838194477943,0.4227360461274541,0.5222365736764565,665.1459487269578,810.1913586582093
p20_m2_aleatoria,truncada,0.2,2.0,aleatoria,400.0,905.9544059018646,1878750.708412644,1370.6752746046907,1011.6879580939732,0.6498586241782647,0.5940922640787014,983.2223123456474,0.835,0.165,755.3750321541092,51.493906076414774,0.0315270644953369,46.297452358504,805.0263499920916,1006.8824618116375,0.5880655777674043,0.711651670589125,920.9449514713053,1102.430964716641
p20_m2_tardia,clasico,0.2,2.0,tardia,400.0,394.73944271538073,970975.7717615572,985.3810287201379,656.3276640624334,0.40765793184313986,0.270934864573298,855.8969379291809,0.6575,0.3425,456.26928868951654,45.19954488110935,0.02371887085007681,36.79550510401258,306.1483347484064,483.33055068235507,0.3611689449769893,0.4541469187092904,584.2084740585688,728.4468540662981
p20_m2_tardia,mediana,0.2,2.0,tardia,400.0,269.9145088214811,801697.6419282305,895.3756987590352,609.2749520970864,0.37445618669708663,0.19361102626772847,805.0822898483184,0.57,0.43,434.69885871672363,42.73963254539059,0.021025901021640835,32.84663514409095,186.14482903251553,353.68418861044665,0.3332454206946706,0.41566695269950266,544.8955472146681,673.6543569795047
p20_m2_tardia,ponderado,0.2,2.0,tardia,400.0,413.39257833764367,1038020.9264573887,1018.8331200237793,674.5849867057614,0.4191639048867826,0.2819398391423483,887.3990826703913,0.6325,0.3675,461.65685598807386,46.618149751975395,0.02465509190944569,38.22358777085992,322.02100482377193,504.7641518515154,0.3708399247442691,0.46748788502929617,599.666754674876,749.5032187366468
p20_m2_tardia,truncada,0.2,2.0,tardia,400.0,729.3123077367977,1655738.7306188256,1286.755116803048,876.7821358937422,0.5519104896208722,0.47729112044418787,1020.3070257086708,0.785,0.215,627.8739789450502,53.07209567517111,0.030530268083535594,47.14909474028269,625.2910002134623,833.3336152601331,0.4920711641771424,0.6117498150646019,784.3699102027881,969.1943615846963
p20_m2_temprana,clasico,0.2,2.0,temprana,400.0,109.49198510808434,576546.1778454008,759.3063794315183,545.2995405592073,0.3344304196610702,0.09223203641827585,697.966120092049,0.485,0.515,421.73635992621473,37.6155757160162,0.01707331525417792,26.452519951940598,35.76545670469258,183.2185135114761,0.3009667217628815,0.3678941175592589,493.45260145340376,597.1464796650109
p20_m2_temprana,mediana,0.2,2.0,temprana,400.0,82.21468170205864,569107.225351246,754.3919573744447,552.4797581212522,0.3377559132128357,0.07430340286444373,700.3623944168527,0.4725,0.5275,393.9919645951295,37.54188876695155,0.01661176476409416,25.71646743405943,8.632579718833597,155.79678368528369,0.30519685427521115,0.3703149721504603,502.0754819504957,602.8840342920087
p20_m2_temprana,ponderado,0.2,2.0,temprana,400.0,216.89612007358525,682013.7972630812,825.8412663842133,589.6559127178974,0.3642614571957404,0.157159871311125,749.6814711362176,0.54,0.46,420.25314698179517,39.89239506296801,0.018978438542950848,28.946398560508708,138.70702575016793,295.0852143970026,0.32706371765155673,0.40145919673992403,532.9209715393004,646.3908538964945
p20_m2_temprana,truncada,0.2,2.0,temprana,400.0,501.43643594480454,1158284.559329862,1076.2362934457572,729.061634142154,0.4557697487918189,0.33073432014545284,916.5254802926017,0.6775,0.3225,463.84881791011526,47.67386226172009,0.02550351503514141,39.63346137458741,407.99566591183316,594.8772059777759,0.4057828593229418,0.5057566382606961,651.3800498479627,806.7432184363454
p20_m5_aleatoria,clasico,0.2,5.0,aleatoria,400.0,1630.8098393987177,10774309.00336112,3282.424257063843,1751.515203913367,1.1075988512514785,1.044052544216934,2825.768151266175,0.83,0.17,998.6725346821601,142.6105363934576,0.108634429039221,138.9767789859041,1351.2931880675408,1910.3264907298947,0.8946753703346053,1.3205223321683517,1479.120717100995,2023.909690725739
p20_m5_aleatoria,mediana,0.2,5.0,aleatoria,400.0,1147.7963110195105,7640569.888768635,2764.1580795549003,1346.5565699906601,0.8557075740132873,0.749135476123174,2485.4400522716114,0.7475,0.2525,684.2921775441287,125.88666499676053,0.09649121264661883,120.85073637618316,901.0584476258599,1394.534174413161,0.6665847972259145,1.0448303508006602,1109.6891266933412,1583.424013287979
p20_m5_aleatoria,ponderado,0.2,5.0,aleatoria,400.0,1610.9495955304658,10103278.932411898,3178.5655463450644,1723.0958367854787,1.086992391253496,1.0291977846505949,2717.4344936666785,0.8475,0.1525,959.2882410737645,137.17632519193398,0.10336019119276367,133.71705126369548,1342.0839981542752,1879.8151929066564,0.8844064165156792,1.2895783659913127,1461.0104163086355,1985.1812572623219
p20_m5_aleatoria,truncada,0.2,5.0,aleatoria,400.0,3347.8176809798156,27762993.68705676,5269.060038285459,3369.2290803831725,2.0996608212156556,2.089158190214737,4057.9083275362145,0.9575,0.0425,2175.613566542131,203.69463644689395,0.1433350599842896,202.80791491772698,2948.5761935439036,3747.0591684157275,1.8187241036464479,2.3805975387848632,2971.7255671444277,3766.732593621917
p20_m5_tardia,clasico,0.2,5.0,tardia,400.0,1447.6573829212832,6124798.066772883,2474.8329371440173,1513.5871218371758,0.9281710984793671,0.8947790278756261,2006.1999678813809,0.8875,0.1125,917.552168594093,100.488607921101,0.05993277214607899,98.02373109660279,1250.6997113959253,1644.6150544466411,0.8107028650730522,1.0456393318856818,1321.4606088878343,1705.7136347865173
p20_m5_tardia,mediana,0.2,5.0,tardia,400.0,930.1341038116323,4057533.8042421667,2014.332098796563,1105.9703607717215,0.6740042016791983,0.5804699243023559,1784.2042335550343,0.7325,0.2675,585.809297978973,89.44810389913036,0.0521444867181454,84.283258019,754.8158201693368,1105.4523874539277,0.5718010077116333,0.7762073956467632,940.7751750544815,1271.1655464889616
p20_m5_tardia,ponderado,0.2,5.0,tardia,400.0,1169.45825898922,5126527.948945942,2264.1837268530003,1282.988230748836,0.7844202858198321,0.7251770710466378,1938.158933518489,0.8075,0.1925,705.2622347013316,97.06075571165675,0.05745196132946584,93.39689675021978,979.2191777943727,1359.6973401840673,0.6718144416140791,0.8970261300255852,1099.9303131184051,1466.046148379267
p20_m5_tardia,truncada,0.2,5.0,tardia,400.0,1963.1229549684201,10760552.52883758,3280.3281129846723,1994.3808731549768,1.22371884191253,1.2084662385194247,2628.464287288683,0.94,0.06,1208.1888000861618,131.56757597868238,0.07993360615112313,130.3840237075592,1705.2505060502026,2220.9954038866376,1.0670489738563287,1.3803887099687313,1738.8281866881607,2249.933559621793
p20_m5_temprana,clasico,0.2,5.0,temprana,400.0,397.1320224333886,2524707.2560858945,1588.9327412089835,957.4258077549218,0.5864976939261676,0.27494180827853304,1504.0221692117914,0.5025,0.4975,589.4671459972276,77.02151853803204,0.042039231831764015,63.48372354165758,246.16984609884582,548.0941987679314,0.5041007995359101,0.668894588316425,832.997709613273,1081.8539058965707
p20_m5_temprana,mediana,0.2,5.0,temprana,400.0,468.4644514623448,2300361.8091905154,1516.6943690772098,933.42833802779,0.5733857376348537,0.3179120080163761,1406.3979102760838,0.5375,0.4625,556.1006315559583,72.21700219325746,0.040089887429622086,59.84678321385032,326.91912716356023,610.0097757611294,0.4948095582727944,0.651961916996913,816.1286429286433,1050.7280331269367
