escenario,metodo,base,n_replicas,delta_mse_promedio,delta_mse_error_estandar,delta_mse_ic_inferior,delta_mse_ic_superior,delta_mse_mejora,delta_mse_empeora,delta_mae_promedio,delta_mae_error_estandar,delta_mae_ic_inferior,delta_mae_ic_superior,delta_mae_mejora,delta_mae_empeora,delta_mape_promedio,delta_mape_error_estandar,delta_mape_ic_inferior,delta_mape_ic_superior,delta_mape_mejora,delta_mape_empeora,proporcion_contaminacion,magnitud_contaminacion,ubicacion_contaminacion
p10_m2_tardia,truncada,clasico,1000,786890.3916942835,134594.37181895247,523085.4229291366,1050695.3604594304,False,True,247.38002115595532,17.311644927034905,213.44919709896692,281.3108452129437,False,True,0.16172355999587043,0.010911784709762302,0.14033646196473631,0.18311065802700455,False,True,0.1,2.0,tardia
p10_m2_temprana,mediana,clasico,1000,59426.13727725919,18151.99340557251,23848.230202337072,95004.04435218131,False,True,27.834239605605486,6.633745421620812,14.832098579228694,40.83638063198228,False,True,0.015355896453494463,0.004080682012072413,0.007357759709832535,0.02335403319715639,False,True,0.1,2.0,temprana
p10_m2_temprana,ponderado,clasico,1000,187357.52223989068,25711.944218582194,136962.11157146958,237752.93290831178,False,True,67.14109308771572,7.476033584062373,52.488067262953464,81.79411891247797,False,True,0.04396894698676966,0.004573847545136148,0.03500420579830281,0.05293368817523651,False,True,0.1,2.0,temprana
p10_m2_temprana,truncada,clasico,1000,720491.0821971679,57376.89752125723,608032.3630555037,832949.8013388321,False,True,244.96466775366892,16.02025965820696,213.56495882358328,276.3643766837546,False,True,0.16103171098771493,0.009868966715363315,0.14168853622560285,0.18037488574982702,False,True,0.1,2.0,temprana
p10_m5_aleatoria,mediana,clasico,1000,-1309879.7803795892,233711.47444227303,-1767954.2702864443,-851805.290472734,True,False,-229.57913076899203,22.519531332436685,-273.7174121805679,-185.44084935741614,True,False,-0.14296860030317748,0.014360776241326725,-0.17111572173617787,-0.1148214788701771,True,False,0.1,5.0,aleatoria
p10_m5_aleatoria,ponderado,clasico,1000,-316574.6510577495,203084.80748085724,-714620.8737202297,81471.57160473068,False,False,-52.25654583846917,20.116686578670485,-91.68525153266333,-12.827840144275022,True,False,-0.028756549860691764,0.012674246506880451,-0.05359807301417745,-0.00391502670720608,True,False,0.1,5.0,aleatoria
p10_m5_aleatoria,truncada,clasico,1000,7624750.1765620075,889159.1941113553,5881998.156103751,9367502.197020264,False,True,1004.098708932224,43.582736353138884,918.6765456800717,1089.5208721843762,False,True,0.6304475631597998,0.027685698121871178,0.5761835948409323,0.6847115314786673,False,True,0.1,5.0,aleatoria
p10_m5_tardia,mediana,clasico,1000,-322170.2398224424,111117.58365113237,-539960.7037786618,-104379.77586622298,True,False,-121.3399280461994,12.570665601986969,-145.97843262609388,-96.70142346630495,True,False,-0.08046019327628072,0.00808340408580788,-0.09630366528446416,-0.06461672126809728,True,False,0.1,5.0,tardia
p10_m5_tardia,ponderado,clasico,1000,476645.59153885796,217853.95287367218,49651.843906460505,903639.3391712555,False,True,-1.65334696965723,12.224558715541086,-25.61348205211776,22.306788112803297,False,False,-0.0016608061655514303,0.00808568121280351,-0.017508741342646312,0.01418712901154345,False,False,0.1,5.0,tardia
p10_m5_tardia,truncada,clasico,1000,3747889.8040217473,586730.7754367504,2597897.484165717,4897882.123877778,False,True,485.4011993918372,28.329675942095175,429.87503454533066,540.9273642383438,False,True,0.3084277608414103,0.018675900448662745,0.27182299596203136,0.3450325257207893,False,True,0.1,5.0,tardia
