escenario,metodo,proporcion_contaminacion,magnitud_contaminacion,ubicacion_contaminacion,n_replicas,sesgo,mse,rmse,mae,mape,error_porcentual_promedio,desviacion_estandar_estimaciones,tasa_sobreestimacion,tasa_subestimacion,error_absoluto_mediano,error_estandar_monte_carlo_sesgo,error_estandar_monte_carlo_mape,error_estandar_monte_carlo_mae,sesgo_ic_inferior,sesgo_ic_superior,mape_ic_inferior,mape_ic_superior,mae_ic_inferior,mae_ic_superior
p10_m5_aleatoria,ponderado,0.1,5.0,aleatoria,1000.0,924.1222572880911,3872070.4956250507,1967.7577329602977,1147.0819438281344,0.7183239896618743,0.5982791174338513,1700.2122231330243,0.719,0.281,614.961568013449,54.96443976653144,0.032823961372785655,50.58490231393781,816.3919553456894,1031.8525592304927,0.6539890253712144,0.7826589539525342,1047.9355352928162,1246.2283523634526
p10_m5_aleatoria,truncada,0.1,5.0,aleatoria,1000.0,2136.360381223036,11813395.323244808,3437.0620191152802,2203.4371985988273,1.3775281026823658,1.3428541329727792,2660.4292993374806,0.907,0.093,1404.921842410509,85.18577499234493,0.05389981594186973,83.45792389064022,1969.3962622380398,2303.324500208032,1.2718844634363011,1.4831717419284305,2039.8596677731725,2367.014729424482
p10_m5_tardia,clasico,0.1,5.0,tardia,1000.0,792.8667281148611,3089473.5785746137,1757.6898414039417,977.2615183942233,0.6162078787275336,0.5171617223375558,1543.2975424392835,0.738,0.262,531.6722299261995,49.63163536749823,0.030118583408624566,46.223046992963845,695.5887227945645,890.1447334351576,0.5571754552466295,0.6752403022084377,886.6643462880143,1067.8586905004324
p10_m5_tardia,mediana,0.1,5.0,tardia,1000.0,553.4456315651667,2767303.338752171,1663.5213670861492,855.9215903480239,0.5357476854512528,0.36957622503102777,1543.0674034775045,0.613,0.387,477.9476537420985,49.63330269476327,0.029618863199110498,45.13023718347287,456.1643582834306,650.7269048469027,0.47769471358099624,0.5938006573215094,767.466325468417,944.3768552276307
p10_m5_tardia,ponderado,0.1,5.0,tardia,1000.0,755.1521940543773,3566119.170113471,1888.41710702733,975.6081714245661,0.614547072561982,0.494791783127631,1706.6161514442324,0.688,0.312,515.4541974410097,54.76187722426484,0.03359774701397381,51.15588715635611,647.8189146948182,862.4854734139365,0.5486954884145934,0.6803986567093707,875.3426325981081,1075.873710251024
p10_m5_tardia,truncada,0.1,5.0,tardia,1000.0,1371.9141608902373,6837363.382596361,2614.8352496087323,1462.6627177860607,0.9246356395689438,0.8765803425933898,2207.0883887936025,0.845,0.155,814.6504602328612,70.42851051128396,0.04502224715595584,68.57611712860017,1233.8742802881206,1509.954041492354,0.8363920351432703,1.0128792439946173,1328.2535282140043,1597.0719073581172
p10_m5_temprana,clasico,0.1,5.0,temprana,1000.0,354.83382156664027,2718217.206410106,1648.7016729566649,854.1675663269913,0.5262094010431428,0.24382686390546168,1586.2220569317126,0.481,0.519,505.56781367638587,50.94021074311602,0.027950016356872324,44.616203117541914,254.99100851013287,454.67663462314766,0.4714273689836731,0.5809914331026126,766.7198082166092,941.6153244373734
p10_m5_temprana,mediana,0.1,5.0,temprana,1000.0,398.50364604954916,2882123.90366172,1697.6819206381742,837.1867971942842,0.5163610632870647,0.2709405926144357,1626.567458883861,0.504,0.496,458.3941903042506,52.21153888308097,0.028700710320795818,46.72713982110565,296.16902983871046,500.83826226038786,0.46010767105830486,0.5726144555158245,745.6016031449171,928.7719912436512
p10_m5_temprana,ponderado,0.1,5.0,temprana,1000.0,602.4921823116002,3658190.101910389,1912.6395640345802,933.3086476312444,0.5792868999774289,0.3959994233135873,1794.3732944939281,0.6,0.4,468.2615508140444,57.432497455079584,0.032616831790348425,52.81964582569897,489.9244872996443,715.0598773235562,0.5153579096683459,0.6432158902865118,829.7821418128744,1036.8351534496144
p10_m5_temprana,truncada,0.1,5.0,temprana,1000.0,1230.3360442264786,7404265.955097406,2721.0780869165455,1388.3909669762584,0.8684857389530775,0.7833054485267894,2410.710083667309,0.761,0.239,661.1189673246874,76.78825176407867,0.046032046245799076,74.04133032646463,1079.8310707688845,1380.8410176840728,0.7782629283113113,0.9587085495948436,1243.2699595363877,1533.511974416129
p20_m10_aleatoria,clasico,0.2,10.0,aleatoria,1000.0,4594.905755371735,75049126.6425236,8663.089901560736,4670.480185354609,2.8746615126387303,2.8324740616472663,7341.101297119939,0.908,0.092,2418.5147389309705,232.35739217738436,0.14164498976041703,230.8441693247738,4139.485266704061,5050.326244039408,2.5970373327083127,3.152285692569148,4218.025613478052,5122.934757231165
p20_m10_aleatoria,mediana,0.2,10.0,aleatoria,1000.0,3031.9946185836507,32927841.88641474,5738.278651861962,3168.6425729724456,1.972328134506535,1.8958440611881455,4856.227321064624,0.833,0.167,1463.6061333959397,154.13827924439454,0.09845954541110244,151.36200509952639,2729.8835912646373,3334.105645902664,1.7793474255007744,2.165308843512296,2871.973042977374,3465.312102967517
p20_m10_aleatoria,ponderado,0.2,10.0,aleatoria,1000.0,4130.173200980343,55912473.85399984,7477.464400048979,4196.8451425776075,2.60537163548246,2.5679209250197865,6221.2457208831065,0.908,0.092,2215.010745424176,197.21317456023002,0.12582326315368464,195.79913688580908,3743.635378842292,4516.711023118393,2.3587580397012378,2.851985231263682,3813.0788342814217,4580.611450873794
p20_m10_aleatoria,truncada,0.2,10.0,aleatoria,1000.0,12532.654264998127,478417084.6555249,21872.747533300997,12533.983218222767,7.757940591010467,7.757032309106451,17921.150784724672,0.994,0.006,7026.382986374823,567.1607647418955,0.3606893657833703,567.1313669055548,11421.019166104012,13644.289363892243,7.050989434075061,8.464891747945872,11422.40573908788,13645.560697357654
p20_m10_tardia,clasico,0.2,10.0,tardia,1000.0,3874.001955799731,42474700.87553196,6517.261762084745,3883.167527217135,2.4417302537456957,2.4373768083857565,5228.353714171577,0.981,0.019,2101.163919364056,165.81406462064018,0.10645752783833418,165.59931752595898,3549.0063891432765,4198.997522456186,2.2330734991825607,2.650387008308831,3558.5928648662557,4207.7421895680145
p20_m10_tardia,mediana,0.2,10.0,tardia,1000.0,2111.813524596813,17341353.135670282,4164.295034657161,2218.792516933041,1.395752457831118,1.3385385948764432,3575.331531295336,0.824,0.176,908.092396106835,113.55391346961378,0.07130173806838049,111.49324484522971,1889.2478541963699,2334.379194997256,1.2560010512170923,1.5355038644451438,2000.2657570363908,2437.3192768296913
p20_m10_tardia,ponderado,0.2,10.0,tardia,1000.0,2525.1506250462376,22280800.119250726,4720.254243073219,2584.5751037016644,1.626250314954917,1.5952859297165098,3975.406816571924,0.893,0.107,1170.8557625923481,126.17580899227147,0.07985135410780189,124.9655474145449,2277.8460394213853,2772.45521067109,1.4697416609036253,1.7827589690062087,2339.6426307691563,2829.5075766341724
p20_m10_tardia,truncada,0.2,10.0,tardia,1000.0,4983.229677693966,68082397.69701871,8251.205832908225,4987.707849479293,3.1296976777203382,3.1276507600201384,6565.858479490524,0.994,0.006,2741.078159395298,208.06997089719113,0.1331503607874401,207.96253634196503,4575.412534735471,5391.04682065246,2.8687229705769557,3.390672384863721,4580.101278249042,5395.314420709545
p20_m10_temprana,clasico,0.2,10.0,temprana,1000.0,1098.2679510755715,13043145.753006427,3611.529558650521,1692.9901083193367,1.0486492810691577,0.7040984564980838,3433.3907337469773,0.511,0.489,726.7728562527891,108.85220283811165,0.06496489076979348,100.9312506783841,884.9176335128727,1311.6182686382704,0.9213180951603624,1.1759804669779528,1495.1648569897038,1890.8153596489697
p20_m10_temprana,mediana,0.2,10.0,temprana,1000.0,1294.4593211424183,11185785.613833727,3344.515751769414,1742.7077948637025,1.0892679441449058,0.833079600963779,3070.363641594284,0.577,0.423,697.6570578072119,97.56884933267041,0.06031379421795502,90.31562471478921,1103.2243764503842,1485.6942658344524,0.971052907477714,1.2074829808120977,1565.6891704227155,1919.7264193046894
p20_m10_temprana,ponderado,0.2,10.0,temprana,1000.0,1740.1599200912756,16017272.959704109,4002.158537552468,2052.693735426857,1.2859363772626557,1.1094016949934176,3592.2855661123854,0.667,0.333,757.5262326637339,114.02683250333135,0.07225184187487704,108.69929588165976,1516.667328384746,1963.6525117978051,1.1443227671878968,1.4275499873374147,1839.643115498804,2265.74435535491
p20_m10_temprana,truncada,0.2,10.0,temprana,1000.0,4308.590913818216,84182210.5722176,9175.086406798446,4395.4581985130835,2.723202087934135,2.6760431200824564,8103.2093082413385,0.893,0.107,1842.3217023608051,256.28878018444186,0.15841222443016034,254.80793724337548,3806.26490465671,4810.916922979722,2.4127141280510207,3.0336900478172497,3896.0346415160675,4894.8817555100995
p20_m2_aleatoria,clasico,0.2,2.0,aleatoria,1000.0,440.1028038646118,908740.7252625654,953.278933608923,678.1797113526253,0.42424734507920764,0.2939381907349135,814.480214554641,0.667,0.333,488.9694844723999,26.753803716600352,0.013421822315614004,21.195807760943534,387.66534858007515,492.5402591491485,0.3979405733406042,0.4505541168178111,636.635928141176,719.7234945640746
p20_m2_aleatoria,mediana,0.2,2.0,aleatoria,1000.0,327.2368739750992,730040.3949373763,854.4240135537954,616.0820723963519,0.38307218294841777,0.2240558560017072,756.5894829892293,0.635,0.365,461.58965881825554,24.97158391555556,0.011979465714846335,18.73056617185692,278.2925695006103,376.18117844958806,0.35959243014731895,0.4065519357495166,579.3701626995123,652.7939820931915
p20_m2_aleatoria,ponderado,0.2,2.0,aleatoria,1000.0,532.1434837964671,1059460.2459969693,1029.3008530050722,737.6849871789727,0.4626642475152678,0.35047384273237703,852.8122931820061,0.715,0.285,523.9625732043828,27.87580706040989,0.014472317583655017,22.711162510763703,477.5069019580637,586.7800656348704,0.43429850505130396,0.49102998997923164,693.1711086578758,782.1988657000696
p20_m2_aleatoria,truncada,0.2,2.0,aleatoria,1000.0,1024.628977752392,2428208.450526492,1558.270981096193,1122.0589271657134,0.7067406634627935,0.6545007981946117,1154.4421058923706,0.839,0.161,793.8241910795637,37.144631268982714,0.02165415218772436,34.21056236122539,951.825500465186,1097.4324550395982,0.6642985251748538,0.7491828017507333,1055.0062249377115,1189.1116293937152
p20_m2_tardia,clasico,0.2,2.0,tardia,1000.0,386.3702258432545,791420.7022858688,889.6182902154546,625.674566164619,0.3961256457255921,0.2675238224900275,748.7069663111498,0.65,0.35,439.10250590979774,25.353136539688762,0.013708164004416091,20.008807858853487,336.67807822546456,436.06237346104444,0.3692576442769366,0.42299364717424764,586.4573027612662,664.8918295679719
p20_m2_tardia,mediana,0.2,2.0,tardia,1000.0,307.47198779915726,795096.2758788969,891.6817122039103,611.8534869949434,0.3836049510185711,0.21821462016746535,789.540993722376,0.605,0.395,438.44738441585196,26.48128605466209,0.01372290325255141,20.522006214551627,255.56866713201958,359.37530846629494,0.35670806064357036,0.4105018413935719,571.6303548144222,652.0766191754647
p20_m2_tardia,ponderado,0.2,2.0,tardia,1000.0,467.68729292854204,1018940.6727869286,1009.42591248042,690.2356309946083,0.4376346743130454,0.31803514536681377,848.1194806465659,0.679,0.321,481.53125673474517,28.302124992643222,0.015910235679114513,23.303615706525054,412.2151279429613,523.1594579141228,0.406450612381981,0.46881873624410986,644.5605442098192,735.9107177793974
p20_m2_tardia,truncada,0.2,2.0,tardia,1000.0,838.9648517820334,1940811.5384196767,1393.13012257279,951.9402950519075,0.6065774376242562,0.5468222296957522,1076.7876846605727,0.808,0.192,659.5934422730254,35.18789143437875,0.021885270811086203,32.18162317140189,769.9965845706511,907.9331189934157,0.5636823068345272,0.6494725684139852,888.8643136359598,1015.0162764678552
p20_m2_temprana,clasico,0.2,2.0,temprana,1000.0,127.52594319482986,641569.0951780955,800.980084133242,574.3379079731058,0.34932260497019496,0.10246119870918327,745.0649645265079,0.489,0.511,433.95008085442885,25.01863627681405,0.011492033577964005,17.66400520048878,78.48941609227433,176.5624702973854,0.3267982191573855,0.3718469907830044,539.7164577801477,608.9593581660638
p20_m2_temprana,mediana,0.2,2.0,temprana,1000.0,130.82305450662952,663693.4339223845,814.673820570162,584.1207649507515,0.3548946546892463,0.10412442808482353,761.307757321231,0.499,0.501,441.70572635772385,25.440636554934315,0.011658525881928785,17.967169645238904,80.95940685895826,180.68670215430078,0.3320439439606659,0.3777453654178267,548.9051124460833,619.3364174554198
p20_m2_temprana,ponderado,0.2,2.0,temprana,1000.0,283.4035852100744,835878.2551523092,914.2637776661117,637.7201590805316,0.3913581387423351,0.19712122716873937,830.6147653767016,0.568,0.432,450.9277454487513,27.501217791625297,0.013490828296615128,20.727297815425437,229.50119833848885,337.30597208166,0.36491611528096946,0.41780016220370075,597.0946553622978,678.3456627987655
p20_m2_temprana,truncada,0.2,2.0,temprana,1000.0,652.4301104572942,1664762.861682939,1290.2568975529405,863.5590801321642,0.5362303568479427,0.4217330071611094,1085.6656862215493,0.715,0.285,564.7767856280068,35.21843481477313,0.01949633841466847,30.33065322952276,583.4019782203388,721.4582426942495,0.4980175335551925,0.574443180140693,804.1109998022996,923.0071604620289
p20_m5_aleatoria,clasico,0.2,5.0,aleatoria,1000.0,1750.3996081829243,9271150.01910537,3044.856321586516,1899.039693991309,1.1823173422555473,1.1026886006326717,2472.7751511717756,0.817,0.183,1077.7227108604015,78.82553327110391,0.04716248663567746,75.30251475534695,1595.9015629715607,1904.897653394288,1.0898788684496195,1.2747558160614751,1751.4467650708289,2046.632622911789
p20_m5_aleatoria,mediana,0.2,5.0,aleatoria,1000.0,1210.7362070188258,5473763.281640466,2339.6075058950523,1440.8029674583934,0.8950852433795566,0.7704077955518082,1979.5236877364493,0.723,0.277,775.3246419428598,63.33950593165216,0.03655870444169776,58.32024813000627,1086.5907753927875,1334.881638644864,0.8234301826738291,0.9667403040852842,1326.495281123581,1555.1106537932058
p20_m5_aleatoria,ponderado,0.2,5.0,aleatoria,1000.0,1711.7292745354973,8555119.020801466,2924.913506550487,1843.9267247615282,1.1477302368838087,1.0778030014925646,2353.294274911709,0.824,0.176,1047.1330840861738,75.03820789533681,0.04476774352296736,71.83462582891114,1564.6543870606372,1858.8041620103575,1.0599854595787928,1.2354750141888247,1703.1308581368623,1984.7225913861942
p20_m5_aleatoria,truncada,0.2,5.0,aleatoria,1000.0,3769.6895207067164,31293444.898362014,5594.054423972117,3787.2189841568,2.3538901333446365,2.3447790240476527,4121.826863872137,0.975,0.025,2486.4989348004947,130.7669140174135,0.0818599658603172,130.25891389480185,3513.386369232586,4025.992672180847,2.193444600258415,2.514335666430858,3531.9115129229885,4042.5264553906118
p20_m5_tardia,clasico,0.2,5.0,tardia,1000.0,1531.6370777205527,6973687.300784996,2640.77399653681,1611.1357107580855,1.0123750391399304,0.9704978603513498,2130.5581176473706,0.855,0.145,911.5479827281757,68.06179229573043,0.042233672337657846,66.19902819255488,1398.235964820921,1665.0381906201844,0.929597041358121,1.0951530369217397,1481.3856155006779,1740.885806015493
p20_m5_tardia,mediana,0.2,5.0,tardia,1000.0,1029.4883220285917,4708732.68619589,2169.961448089779,1244.111391336034,0.7787528769823526,0.6615124745114352,1888.7586826249767,0.706,0.294,615.2033203216525,60.43623929417406,0.03596560674585483,56.25018769532746,911.0332930120105,1147.943351045173,0.7082602877604771,0.8492454662042281,1133.8610234531923,1354.361759218876
p20_m5_tardia,ponderado,0.2,5.0,tardia,1000.0,1291.1536860165368,6214007.856937545,2492.791177964481,1434.2761436734345,0.8997195171243788,0.8226831489942554,2112.3703200338628,0.772,0.228,728.6675407904321,67.4646685126443,0.04122805584540339,64.50597508330726,1158.922935731754,1423.3844363013195,0.8189125276673882,0.9805265065813694,1307.8444325101523,1560.7078548367167
p20_m5_tardia,truncada,0.2,5.0,tardia,1000.0,2244.6732376989376,14091696.665099144,3753.8908701638015,2278.6102850256316,1.426445577126841,1.4091872821555425,2992.9791909667956,0.933,0.067,1362.4975566990001,95.19559297561675,0.06004064356294861,94.38506436110008,2058.0898754667287,2431.2565999311464,1.3087659157434617,1.5441252385102202,2093.6155588778756,2463.6050111733875
