escenario,metodo,base,n_replicas,delta_mse_promedio,delta_mse_error_estandar,delta_mse_ic_inferior,delta_mse_ic_superior,delta_mse_mejora,delta_mse_empeora,delta_mae_promedio,delta_mae_error_estandar,delta_mae_ic_inferior,delta_mae_ic_superior,delta_mae_mejora,delta_mae_empeora,delta_mape_promedio,delta_mape_error_estandar,delta_mape_ic_inferior,delta_mape_ic_superior,delta_mape_mejora,delta_mape_empeora
p5_m10_tardia,truncada,clasico,400,3347003.218363753,1040120.379305701,1308367.274924579,5385639.161802927,False,True,327.8867707715131,35.81889913043604,257.68172847585845,398.0918130671678,False,True,0.2089428777040256,0.02289157549576592,0.16407538973232438,0.2538103656757268,False,True
p5_m10_temprana,mediana,clasico,400,-532756.7653483539,479041.16619212396,-1471677.451084917,406163.92038820905,False,False,-106.91312497612212,27.559643544170576,-160.93002632269645,-52.89622362954779,True,False,-0.0673831629331544,0.016692836430719234,-0.1001011223373641,-0.0346652035289447,True,False
p5_m10_temprana,ponderado,clasico,400,648862.5837707412,428844.9387370938,-191673.49615396268,1489398.6636954453,False,False,-24.470188041253213,24.37603594696362,-72.2472184973019,23.30684241479548,False,False,-0.012566498524918795,0.015076162422132805,-0.04211577687229909,0.0169827798224615,False,False
p5_m10_temprana,truncada,clasico,400,3502086.755435613,752400.0999534497,2027382.5595268516,4976790.951344375,False,True,341.12520183132955,38.770999155061965,265.1340434874081,417.116360175251,False,True,0.21765286284696625,0.023578833868059076,0.17143834846557046,0.26386737722836207,False,True
p5_m2_aleatoria,mediana,clasico,400,-116260.52530856818,82589.27411520267,-278135.5025743654,45614.45195722906,False,False,-21.485373441676053,11.866123250223263,-44.74297501211365,1.7722281287615402,False,False,-0.01480378865531454,0.007040536326746077,-0.028603239855736852,-0.001004337454892229,True,False
p5_m2_aleatoria,ponderado,clasico,400,2949.3930696377297,46173.202861785554,-87550.08453946195,93448.87067873742,False,False,18.839013553345126,8.98041771618537,1.2373948296218025,36.440632277068445,False,True,0.012196372709778745,0.005452452471450024,0.0015095658657366985,0.02288317955382079,False,True
p5_m2_aleatoria,truncada,clasico,400,375896.1447845569,55585.571093394516,266948.42544150364,484843.8641276101,False,True,171.08116134655435,16.978365669669436,137.80356463400227,204.35875805910644,False,True,0.10992014971287696,0.01007655922804866,0.09017009362590159,0.12967020579985233,False,True
p5_m2_tardia,mediana,clasico,400,-31370.230860468782,15970.50149649838,-62672.41379360561,-68.04792733195791,True,False,-17.14576453083008,9.736612332122998,-36.229524701791156,1.9379956401309997,False,False,-0.013352897649097912,0.0059202710913534365,-0.024956628988150646,-0.001749166310045177,True,False
p5_m2_tardia,ponderado,clasico,400,29047.22155133365,14354.962421522625,911.4952051493055,57182.947897517995,False,True,11.514773916030085,7.275591121820161,-2.7453846827374306,25.7749325147976,False,False,0.007516970908072733,0.0043874572787521455,-0.0010824453582814718,0.016116387174426938,False,False
p5_m2_tardia,truncada,clasico,400,299313.84243960085,38737.49134536081,223388.35940269366,375239.325476508,False,True,136.4217760859083,15.445131930531272,106.14931750206702,166.6942346697496,False,True,0.08930535188976826,0.009280807309417261,0.07111496956331043,0.1074957342162261,False,True
p5_m2_temprana,mediana,clasico,400,-24410.594083167118,34210.64521024046,-91463.45869523841,42642.27052890418,False,False,-6.775340324567112,10.520196295226466,-27.394925063210984,13.844244414076762,False,False,-0.006258098172202329,0.006780504849097308,-0.019547887676433052,0.007031691332028394,False,False
p5_m2_temprana,ponderado,clasico,400,51880.356424327976,28588.25874490537,-4152.630715686551,107913.3435643425,False,False,22.205382907534307,9.862922927895124,2.874053968859865,41.536711846208746,False,True,0.01581119776191165,0.006158718626870647,0.0037401092532451836,0.027882286270578118,False,True
p5_m2_temprana,truncada,clasico,400,359608.4398983659,62938.800077163425,236248.39174712557,482968.4880496062,False,True,136.52415511188184,17.5427045035345,102.14045428495422,170.90785593880946,False,True,0.09427259406902663,0.011017269043091837,0.07267874674456663,0.11586644139348663,False,True
p5_m5_aleatoria,mediana,clasico,400,-755417.2525564415,301962.0821435282,-1347262.9335577567,-163571.57155512623,True,False,-134.825256276196,24.649911185132375,-183.13908219905545,-86.51143035333655,True,False,-0.08480221800126495,0.015256882176748508,-0.11470570706769202,-0.05489872893483787,True,False
p5_m5_aleatoria,ponderado,clasico,400,-443473.4348117557,240329.43100331514,-914519.1195782535,27572.249954741972,False,False,-59.75286694865505,20.690688808220848,-100.3066170127679,-19.199116884542185,True,False,-0.03472795737227496,0.01277869645431009,-0.05977420242272273,-0.009681712321827182,True,False
p5_m5_aleatoria,truncada,clasico,400,3070222.4573942674,1490181.910101879,149465.9135945849,5990979.00119395,False,True,424.3750864872101,48.12735651871368,330.0454677105313,518.704705263889,False,True,0.269827262822705,0.02975486785176082,0.21150772183325384,0.3281468038121562,False,True
p5_m5_tardia,mediana,clasico,400,3236.887259501843,82460.9490190265,-158386.5728177901,164860.34733679378,False,False,-21.954190210162118,13.532161811061727,-48.4772273598431,4.568846939518867,False,False,-0.018641751956957452,0.00836395717662239,-0.035035108023137335,-0.0022483958907775665,True,False
p5_m5_tardia,ponderado,clasico,400,154361.24680822325,88311.18717944562,-18728.680063490174,327451.1736799367,False,False,7.632201796673281,10.492655695651324,-12.933403366803311,28.197806960149876,False,False,0.003355254726881944,0.006471661997404657,-0.009329202788031184,0.01603971224179507,False,False
p5_m5_tardia,truncada,clasico,400,796157.0156376092,195923.41242942872,412147.1272759289,1180166.9039992895,False,True,183.7708734296728,18.381292646136114,147.74353984324603,219.79820701609958,False,True,0.12056465974693978,0.01134581079875507,0.09832687058137984,0.1428024489124997,False,True
p5_m5_temprana,mediana,clasico,400,30258.956511248656,96758.17742029771,-159387.07123253486,219904.98425503218,False,False,-35.24628485987703,14.12329952896184,-62.92795193664224,-7.564617783111821,True,False,-0.020744112256747053,0.00889595065059379,-0.03818017553191088,-0.0033080489815832254,True,False
p5_m5_temprana,ponderado,clasico,400,149258.87387624252,93348.29613469969,-33703.78654776886,332221.5343002539,False,False,1.7825558929425602,14.192503601386615,-26.034751165775205,29.599862951660327,False,False,0.004701841459264629,0.008732353439646215,-0.012413571282441953,0.02181725420097121,False,False
p5_m5_temprana,truncada,clasico,400,699878.3536387052,136592.09105445695,432157.8551719696,967598.8521054408,False,True,183.15541535116682,23.526751720903583,137.0429819781958,229.26784872413785,False,True,0.1245055898992193,0.014424140796395387,0.09623427393828433,0.15277690586015424,False,True
